time,guest_nice,guest,steal,softirq,irq,user,system,nice,iowait
2020-10-08 17:34:47,0,0,0,0,0,2.020202,1.2626263,0,0
2020-10-08 17:34:46,0,0,0,0,0,1.763224,2.267003,0,0
2020-10-08 17:34:45,0,0,0,0,0,1.0050251,2.763819,0,0
2020-10-08 17:34:44,0,0,0,0,0,1.2594458,1.763224,0,0
2020-10-08 17:34:43,0,0,0,0,0,1.2626263,2.777778,0,0
2020-10-08 17:34:42,0,0,0,0,0,1.758794,1.758794,0,0
2020-10-08 17:34:41,0,0,0,0,0,1.010101,2.272727,0,0
2020-10-08 17:34:40,0,0,0,0,0,1.511335,2.267003,0,0
2020-10-08 17:34:39,0,0,0,0,0,0.5025126,2.512563,0,0
2020-10-08 17:34:38,0,0,0,0,0,1.767677,1.767677,0,0
2020-10-08 17:34:37,0,0,0,0,0,1.0126582,2.025316,0,0.2531646
2020-10-08 17:34:36,0,0,0,0,0,0.7575758,2.525253,0,0
2020-10-08 17:34:35,0,0,0,0,0,2.020202,2.020202,0,0
2020-10-08 17:34:34,0,0,0,0,0,2.005013,1.2531328,0,0
2020-10-08 17:34:33,0,0,0,0,0,1.511335,2.267003,0,0
2020-10-08 17:34:32,0,0,0,0,0,1.5189873,2.025316,0,0.2531646
2020-10-08 17:34:31,0,0,0,0,0,1.0075567,2.518892,0,0
2020-10-08 17:34:30,0,0,0,0,0,1.2594458,1.511335,0,0
2020-10-08 17:34:29,0,0,0,0,0,1.767677,1.5151515,0,0
2020-10-08 17:34:28,0,0,0,0,0,1.2755102,1.785714,0,0
2020-10-08 17:34:27,0,0,0,0,0,1.0126582,1.772152,0,0
2020-10-08 17:34:26,0,0,0,0,0,1.0050251,2.01005,0,0
2020-10-08 17:34:25,0,0,0,0,0,0.2525253,2.777778,0,0
2020-10-08 17:34:24,0,0,0,0,0,1.5228426,4.314721,0,0
2020-10-08 17:34:23,0,0,0,0,0,3,2.25,0,0
2020-10-08 17:34:22,0,0,0,0,0,1.2658228,2.025316,0,0
2020-10-08 17:34:21,0,0,0,0,0,1.745636,1.745636,0,0
2020-10-08 17:34:20,0,0,0,0,0,2.040816,1.5306122,0,0
2020-10-08 17:34:19,0,0,0,0,0,1.5306122,1.785714,0,0
2020-10-08 17:34:18,0,0,0,0,0,1.5267176,2.035623,0,0
2020-10-08 17:34:17,0,0,0,0,0,1.285347,2.056555,0,0
2020-10-08 17:34:16,0,0,0,0,0,3.553299,1.2690355,0,0
2020-10-08 17:34:15,0,0,0,0,0,1.772152,2.278481,0,0.2531646
2020-10-08 17:34:14,0,0,0,0,0,1.785714,2.040816,0,0
2020-10-08 17:34:13,0,0,0,0,0,4.3257,2.544529,0,0
2020-10-08 17:34:12,0,0,0,0,0,4.79798,2.272727,0,0
2020-10-08 17:34:11,0,0,0,1.5189873,0,5.822785,2.025316,0,0
2020-10-08 17:34:10,0,0,0,0.5063291,0,5.316456,2.531646,0,0
2020-10-08 17:34:09,0,0,0,0.2538071,0,2.538071,2.791878,0,0
2020-10-08 17:34:08,0,0,0,0,0,4.347826,2.813299,0,0
2020-10-08 17:34:07,0,0,0,0.7481297,0,5.735661,2.992519,0,0
2020-10-08 17:34:06,0,0,0,0.5089059,0,5.597964,2.035623,0,0
2020-10-08 17:34:05,0,0,0,0.5128205,0,5.897436,2.051282,0,0
2020-10-08 17:34:04,0,0,0,0.2564103,0,4.102564,2.051282,0,0
2020-10-08 17:34:03,0,0,0,0,0,4.040404,3.787879,0,0
2020-10-08 17:34:02,0,0,0,0,0,5.357143,2.55102,0,0
2020-10-08 17:34:01,0,0,0,0,0,5.11509,2.30179,0,0
2020-10-08 17:34:00,0,0,0,0.5102041,0,4.591837,2.040816,0,0.255102
2020-10-08 17:33:59,0,0,0,0,0,4.773869,2.512563,0,0
2020-10-08 17:33:58,0,0,0,0.2538071,0,5.329949,1.2690355,0,0
2020-10-08 17:33:57,0,0,0,0.2583979,0,5.426357,2.583979,0,0
2020-10-08 17:33:56,0,0,0,0.5037783,0,6.801008,1.763224,0,0
2020-10-08 17:33:55,0,0,0,0,0,4.3257,2.798982,0,0
2020-10-08 17:33:54,0,0,0,0.5128205,0,5.128205,2.051282,0,0
2020-10-08 17:33:53,0,0,0,0.7575758,0,2.272727,2.777778,0,0
2020-10-08 17:33:52,0,0,0,0.5141388,0,5.912596,0.7712082,0,0
2020-10-08 17:33:51,0,0,0,0,0,2.267003,2.770781,0,0
2020-10-08 17:33:50,0,0,0,0.5050505,0,5.808081,3.282828,0,0
2020-10-08 17:33:49,0,0,0,0,0,2.78481,2.78481,0,0.2531646
2020-10-08 17:33:48,0,0,0,0.2557545,0,4.347826,2.557545,0,0
2020-10-08 17:33:47,0,0,0,0,0,2.525253,3.282828,0,0
2020-10-08 17:33:46,0,0,0,0.2544529,0,5.343511,2.035623,0,0
2020-10-08 17:33:45,0,0,0,1.5151515,0,5.050505,2.272727,0,0
2020-10-08 17:33:44,0,0,0,0.2557545,0,5.370844,2.557545,0,0
2020-10-08 17:33:43,0,0,0,0.2525253,0,2.272727,1.767677,0,0
2020-10-08 17:33:42,0,0,0,0.5102041,0,4.336735,2.040816,0,0
2020-10-08 17:33:41,0,0,0,0.25,0,5.5,2.25,0,0
2020-10-08 17:33:40,0,0,0,0.2512563,0,2.763819,2.763819,0,0
2020-10-08 17:33:39,0,0,0,0.2538071,0,3.807107,1.5228426,0,0
2020-10-08 17:33:38,0,0,0,0.2525253,0,3.535354,2.272727,0,0
2020-10-08 17:33:37,0,0,0,0,0,2.244389,2.493766,0,0
2020-10-08 17:33:36,0,0,0,0.5076142,0,4.060914,3.045685,0,0
2020-10-08 17:33:35,0,0,0,0,0,4.040404,2.272727,0,0
2020-10-08 17:33:34,0,0,0,0.2544529,0,7.124682,1.5267176,0,0
2020-10-08 17:33:33,0,0,0,0.5050505,0,6.565657,2.272727,0,0
2020-10-08 17:33:32,0,0,0,0.5037783,0,5.037783,3.526448,0,0.2518892
2020-10-08 17:33:31,0,0,0,0,0,0.7575758,2.525253,0,0
2020-10-08 17:33:30,0,0,0,0.2557545,0,4.859335,2.30179,0,0
2020-10-08 17:33:29,0,0,0,0.2506266,0,6.015038,2.506266,0,0
2020-10-08 17:33:28,0,0,0,0.2544529,0,4.580153,2.290076,0,0
2020-10-08 17:33:27,0,0,0,0.2538071,0,5.076142,1.77665,0,0
2020-10-08 17:33:26,0,0,0,0,0,2.75,1.5,0,0
2020-10-08 17:33:25,0,0,0,0,0,1,2.25,0,0
2020-10-08 17:33:24,0,0,0,0,0,1.5151515,1.767677,0,0
2020-10-08 17:33:23,0,0,0,0,0,2.272727,2.525253,0,0
2020-10-08 17:33:22,0,0,0,0,0,2.756892,2.005013,0,0
2020-10-08 17:33:21,0,0,0,0,0,0.7556675,2.015113,0,0
2020-10-08 17:33:20,0,0,0,0,0,2.040816,1.5306122,0,0
2020-10-08 17:33:19,0,0,0,0,0,1.78117,1.78117,0,0
2020-10-08 17:33:18,0,0,0,0,0,2.030457,1.77665,0,0
2020-10-08 17:33:17,0,0,0,0.255102,0,1.0204082,2.040816,0,0
2020-10-08 17:33:16,0,0,0,0,0,0.7614213,2.284264,0,0
2020-10-08 17:33:15,0,0,0,0,0,2.025316,1.772152,0,0.2531646
2020-10-08 17:33:14,0,0,0,0,0,1.2658228,2.025316,0,0
2020-10-08 17:33:13,0,0,0,0,0,1.511335,2.518892,0,0
2020-10-08 17:33:12,0,0,0,0,0,2.244389,1.4962594,0,0
2020-10-08 17:33:11,0,0,0,0.2525253,0,1.767677,2.020202,0,0
2020-10-08 17:33:10,0,0,0,0,0,1.0126582,2.278481,0,0
2020-10-08 17:33:09,0,0,0,0,0,1.5151515,1.767677,0,0
2020-10-08 17:33:08,0,0,0,0,0,1.5075377,1.758794,0,0
2020-10-08 17:33:07,0,0,0,0,0,1.5037594,2.255639,0,0
2020-10-08 17:33:06,0,0,0,0,0,1.2626263,2.020202,0,0
2020-10-08 17:33:05,0,0,0,0,0,1.5189873,1.772152,0,0
2020-10-08 17:33:04,0,0,0,0,0,1.5037594,2.005013,0,0
2020-10-08 17:33:03,0,0,0,0,0,1.5267176,1.78117,0,0
2020-10-08 17:33:02,0,0,0,0,0,1.511335,2.015113,0,0
2020-10-08 17:33:01,0,0,0,0,0,2.290076,2.035623,0,0
2020-10-08 17:33:00,0,0,0,0,0,1.985112,2.48139,0,0
2020-10-08 17:32:59,0,0,0,0,0,1.754386,2.005013,0,0
2020-10-08 17:32:58,0,0,0,0,0,1.2626263,2.272727,0,0
2020-10-08 17:32:57,0,0,0,0,0,0.7518797,2.506266,0,0.2506266
2020-10-08 17:32:56,0,0,0,0,0,1.2531328,2.506266,0,0
2020-10-08 17:32:55,0,0,0,0,0,1.0152284,1.77665,0,0
2020-10-08 17:32:54,0,0,0,0,0,1.511335,1.763224,0,0
2020-10-08 17:32:53,0,0,0,0,0,1.741294,2.238806,0,0
2020-10-08 17:32:52,0,0,0,0,0,1.5306122,1.5306122,0,0
2020-10-08 17:32:51,0,0,0,0.2506266,0,1.2531328,3.007519,0,0
2020-10-08 17:32:50,0,0,0,0,0,1.5228426,1.5228426,0,0
2020-10-08 17:32:49,0,0,0,0,0,1.2562814,1.758794,0,0
2020-10-08 17:32:48,0,0,0,0,0,1.5228426,1.77665,0,0
2020-10-08 17:32:47,0,0,0,0,0,1.0075567,2.518892,0,0
2020-10-08 17:32:46,0,0,0,0,0,1.2658228,1.772152,0,0.2531646
2020-10-08 17:32:45,0,0,0,0,0,1.4962594,1.995012,0,0
2020-10-08 17:32:44,0,0,0,0,0,1.0152284,2.284264,0,0
2020-10-08 17:32:43,0,0,0,0,0,2.518892,2.015113,0,0
2020-10-08 17:32:42,0,0,0,0,0,2.005013,2.506266,0,0
2020-10-08 17:32:41,0,0,0,0,0,1.5037594,3.007519,0,0
2020-10-08 17:32:40,0,0,0,0,0,0.7614213,2.030457,0,0
2020-10-08 17:32:39,0,0,0,0,0,1.5151515,1.767677,0,0
2020-10-08 17:32:38,0,0,0,0,0,1.5151515,1.2626263,0,0
2020-10-08 17:32:37,0,0,0,0,0,1.2658228,1.772152,0,0
2020-10-08 17:32:36,0,0,0,0,0,1.5228426,1.5228426,0,0
2020-10-08 17:32:35,0,0,0,0,0,1.2594458,1.763224,0,0
2020-10-08 17:32:34,0,0,0,0,0,1.25,3,0,0.25
2020-10-08 17:32:33,0,0,0,0,0,2.506266,1.754386,0,0
2020-10-08 17:32:32,0,0,0,0,0,2.267003,1.763224,0,0
2020-10-08 17:32:31,0,0,0,0,0,1,2.25,0,0
2020-10-08 17:32:30,0,0,0,0,0,2.015113,2.518892,0,0
2020-10-08 17:32:29,0,0,0,0,0,1.5189873,1.5189873,0,0
2020-10-08 17:32:28,0,0,0,0,0,2.267003,1.511335,0,0
2020-10-08 17:32:27,0,0,0,0,0,0.7594937,2.278481,0,0
2020-10-08 17:32:26,0,0,0,0,0,1.763224,1.763224,0,0
2020-10-08 17:32:25,0,0,0,0,0,1.5,4.5,0,0
2020-10-08 17:32:24,0,0,0,0,0,1.0050251,2.261307,0,0
2020-10-08 17:32:23,0,0,0,0,0,2.512563,2.763819,0,0
2020-10-08 17:32:22,0,0,0,0,0,1.0075567,2.267003,0,0
2020-10-08 17:32:21,0,0,0,0,0,1.5037594,1.754386,0,0
2020-10-08 17:32:20,0,0,0,0,0,1.2755102,2.295918,0,0
2020-10-08 17:32:19,0,0,0,0.255102,0,1.2755102,2.806122,0,0
2020-10-08 17:32:18,0,0,0,0,0,2.295918,1.2755102,0,0
2020-10-08 17:32:17,0,0,0,0,0,1.2658228,2.025316,0,0
2020-10-08 17:32:16,0,0,0,0,0,1.0204082,2.295918,0,0.255102
2020-10-08 17:32:15,0,0,0,0,0,0.7633588,2.798982,0,0
2020-10-08 17:32:14,0,0,0,0,0,1.5075377,2.01005,0,0
2020-10-08 17:32:13,0,0,0,0,0,2.005013,2.255639,0,0
2020-10-08 17:32:12,0,0,0,0,0,1.5151515,1.767677,0,0
2020-10-08 17:32:11,0,0,0,0,0,1.25,2.25,0,0
2020-10-08 17:32:10,0,0,0,0,0,0.7556675,2.770781,0,0
2020-10-08 17:32:09,0,0,0,0,0,2.01005,1.758794,0,0
2020-10-08 17:32:08,0,0,0,0,0,1.5189873,2.278481,0,0
2020-10-08 17:32:07,0,0,0,0,0,1.0050251,2.763819,0,0
2020-10-08 17:32:06,0,0,0,0,0,0.75,2.25,0,0
2020-10-08 17:32:05,0,0,0,0.2512563,0,0.7537688,3.015075,0,0
2020-10-08 17:32:04,0,0,0,0,0,0.7575758,2.525253,0,0
2020-10-08 17:32:03,0,0,0,0,0,1.2531328,3.007519,0,0
2020-10-08 17:32:02,0,0,0,0,0,1.758794,1.758794,0,0
2020-10-08 17:32:01,0,0,0,0,0,2.01005,2.261307,0,0
2020-10-08 17:32:00,0,0,0,0,0,1.2594458,2.267003,0,0
2020-10-08 17:31:59,0,0,0,0,0,1.2594458,2.267003,0,0.2518892
2020-10-08 17:31:58,0,0,0,0,0,1.2626263,2.272727,0,0
2020-10-08 17:31:57,0,0,0,0,0,1.754386,2.255639,0,0
2020-10-08 17:31:56,0,0,0,0.2506266,0,3.007519,2.506266,0,0
2020-10-08 17:31:55,0,0,0,0,0,2.267003,2.267003,0,0
2020-10-08 17:31:54,0,0,0,0,0,1.995012,1.745636,0,0
2020-10-08 17:31:53,0,0,0,0.2531646,0,1.5189873,1.772152,0,0
2020-10-08 17:31:52,0,0,0,0,0,1.767677,1.5151515,0,0
2020-10-08 17:31:51,0,0,0,0,0,0.7556675,2.518892,0,0
2020-10-08 17:31:50,0,0,0,0.2512563,0,1.5075377,2.01005,0,0
2020-10-08 17:31:49,0,0,0,0,0,1.75,2.25,0,0
2020-10-08 17:31:48,0,0,0,0,0,1.2755102,2.040816,0,0.255102
2020-10-08 17:31:47,0,0,0,0,0,1.0152284,3.045685,0,0
2020-10-08 17:31:46,0,0,0,0,0,0.5025126,2.261307,0,0
2020-10-08 17:31:45,0,0,0,0,0,1.010101,2.525253,0,0
2020-10-08 17:31:44,0,0,0,0,0,1.2658228,2.025316,0,0
